Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 16:00:00,09/01/13 17:00:00,11600
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 17:00:00,09/01/13 18:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 17:00:00,09/01/13 18:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 17:00:00,09/01/13 18:00:00,34
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 17:00:00,09/01/13 18:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 17:00:00,09/01/13 18:00:00,2776
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 17:00:00,09/01/13 18:00:00,1076
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 18:00:00,09/01/13 19:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 18:00:00,09/01/13 19:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 18:00:00,09/01/13 19:00:00,50
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 18:00:00,09/01/13 19:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 18:00:00,09/01/13 19:00:00,1786
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 18:00:00,09/01/13 19:00:00,988
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 19:00:00,09/01/13 20:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 19:00:00,09/01/13 20:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 19:00:00,09/01/13 20:00:00,44
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 19:00:00,09/01/13 20:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 19:00:00,09/01/13 20:00:00,2148
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 19:00:00,09/01/13 20:00:00,1064
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 20:00:00,09/01/13 21:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 20:00:00,09/01/13 21:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 20:00:00,09/01/13 21:00:00,53
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 20:00:00,09/01/13 21:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 20:00:00,09/01/13 21:00:00,2132
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 20:00:00,09/01/13 21:00:00,912
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 21:00:00,09/01/13 22:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 21:00:00,09/01/13 22:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 21:00:00,09/01/13 22:00:00,34
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 21:00:00,09/01/13 22:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 21:00:00,09/01/13 22:00:00,2830
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 21:00:00,09/01/13 22:00:00,1216
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 22:00:00,09/01/13 23:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 22:00:00,09/01/13 23:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 22:00:00,09/01/13 23:00:00,33
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 22:00:00,09/01/13 23:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 22:00:00,09/01/13 23:00:00,2750
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 22:00:00,09/01/13 23:00:00,1352
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/01/13 23:00:00,09/02/13 00:00:00,1792731
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/01/13 23:00:00,09/02/13 00:00:00,887037
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/01/13 23:00:00,09/02/13 00:00:00,90194313216
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/01/13 23:00:00,09/02/13 00:00:00,1647
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/01/13 23:00:00,09/02/13 00:00:00,0
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/01/13 23:00:00,09/02/13 00:00:00,3
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 00:00:00,09/02/13 01:00:00,68841
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 00:00:00,09/02/13 01:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 00:00:00,09/02/13 01:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 00:00:00,09/02/13 01:00:00,44
AmazonEC2,PublicIP-In,USW1-DataTransfer-Regional-Bytes,,09/02/13 00:00:00,09/02/13 01:00:00,192
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 00:00:00,09/02/13 01:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 00:00:00,09/02/13 01:00:00,35368
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 01:00:00,09/02/13 02:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 01:00:00,09/02/13 02:00:00,0
AmazonEC2,EBS:IO-Write,USW1-EBS:VolumeIOUsage,,09/02/13 01:00:00,09/02/13 02:00:00,53
AmazonEC2,PublicIP-In,USW1-DataTransfer-Regional-Bytes,,09/02/13 01:00:00,09/02/13 02:00:00,192
AmazonEC2,CreateVolume,USW1-EBS:VolumeUsage,,09/02/13 01:00:00,09/02/13 02:00:00,90194313216
AmazonEC2,RunInstances,USW1-DataTransfer-In-Bytes,,09/02/13 01:00:00,09/02/13 02:00:00,2842
AmazonEC2,RunInstances,USW1-DataTransfer-Out-Bytes,,09/02/13 01:00:00,09/02/13 02:00:00,1515
AmazonEC2,RunInstances,USW1-BoxUsage:t1.micro,,09/02/13 02:00:00,09/02/13 03:00:00,3
AmazonEC2,EBS:IO-Read,USW1-EBS:VolumeIOUsage,,09/02/13 02:00:00,09/02/13 03:00:00,0
